Kode,Nama,Provinsi
17.07,KAB. LEBONG,BENGKULU
17.08,KAB. KEPAHIANG,BENGKULU
17.09,KAB. BENGKULU TENGAH,BENGKULU
17.71,KOTA BENGKULU,BENGKULU
18.01,KAB. LAMPUNG SELATAN,LAMPUNG
18.02,KAB. LAMPUNG TENGAH,LAMPUNG
18.03,KAB. LAMPUNG UTARA,LAMPUNG
18.04,KAB. LAMPUNG BARAT,LAMPUNG
18.05,KAB. TULANG BAWANG,LAMPUNG
18.06,KAB. TANGGAMUS,LAMPUNG
18.07,KAB. LAMPUNG TIMUR,LAMPUNG
18.08,KAB. WAY KANAN,LAMPUNG
18.09,KAB. PESAWARAN,LAMPUNG
18.10,KAB. PRINGSEWU,LAMPUNG
18.11,KAB. MESUJI,LAMPUNG
18.12,KAB. TULANG BAWANG BARAT,LAMPUNG
18.13,KAB. PESISIR BARAT,LAMPUNG
18.71,KOTA BANDAR LAMPUNG,LAMPUNG
18.72,KOTA METRO,LAMPUNG
19.01,KAB. BANGKA,KEPULAUAN BANGKA BELITUNG
19.02,KAB. BELITUNG,KEPULAUAN BANGKA BELITUNG
19.03,KAB. BANGKA SELATAN,KEPULAUAN BANGKA BELITUNG
19.04,KAB. BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG
19.05,KAB. BANGKA BARAT,KEPULAUAN BANGKA BELITUNG
19.06,KAB. BELITUNG TIMUR,KEPULAUAN BANGKA BELITUNG
19.71,KOTA PANGKAL PINANG,KEPULAUAN BANGKA BELITUNG
21.01,KAB. BINTAN,KEPULAUAN RIAU
21.02,KAB. KARIMUN,KEPULAUAN RIAU
21.03,KAB. NATUNA,KEPULAUAN RIAU
21.04,KAB. LINGGA,KEPULAUAN RIAU
21.05,KAB. KEPULAUAN ANAMBAS,KEPULAUAN RIAU
21.71,KOTA BATAM,KEPULAUAN RIAU
21.72,KOTA TANJUNG PINANG,KEPULAUAN RIAU
31.01,KAB. ADM. KEP. SERIBU,DKI JAKARTA
31.71,KOTA ADM. JAKARTA PUSAT,DKI JAKARTA
31.72,KOTA ADM. JAKARTA UTARA,DKI JAKARTA
31.73,KOTA ADM. JAKARTA BARAT,DKI JAKARTA
31.74,KOTA ADM. JAKARTA SELATAN,DKI JAKARTA
31.75,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA
32.01,KAB. BOGOR,JAWA BARAT
32.02,KAB. SUKABUMI,JAWA BARAT
32.03,KAB. CIANJUR,JAWA BARAT
32.04,KAB. BANDUNG,JAWA BARAT
32.05,KAB. GARUT,JAWA BARAT
32.06,KAB. TASIKMALAYA,JAWA BARAT
32.07,KAB. CIAMIS,JAWA BARAT
32.08,KAB. KUNINGAN,JAWA BARAT
32.09,KAB. CIREBON,JAWA BARAT
32.10,KAB. MAJALENGKA,JAWA BARAT
32.11,KAB. SUMEDANG,JAWA BARAT
32.12,KAB. INDRAMAYU,JAWA BARAT
32.13,KAB. SUBANG,JAWA BARAT
32.14,KAB. PURWAKARTA,JAWA BARAT
32.15,KAB. KARAWANG,JAWA BARAT
32.16,KAB. BEKASI,JAWA BARAT
32.17,KAB. BANDUNG BARAT,JAWA BARAT
32.18,KAB. PANGANDARAN,JAWA BARAT
32.71,KOTA BOGOR,JAWA BARAT
32.72,KOTA SUKABUMI,JAWA BARAT
32.73,KOTA BANDUNG,JAWA BARAT
32.74,KOTA CIREBON,JAWA BARAT
32.75,KOTA BEKASI,JAWA BARAT
32.76,KOTA DEPOK,JAWA BARAT
32.77,KOTA CIMAHI,JAWA BARAT
32.78,KOTA TASIKMALAYA,JAWA BARAT
32.79,KOTA BANJAR,JAWA BARAT
33.01,KAB. CILACAP,JAWA TENGAH
33.02,KAB. BANYUMAS,JAWA TENGAH
33.03,KAB. PURBALINGGA,JAWA TENGAH
33.04,KAB. BANJARNEGARA,JAWA TENGAH
33.05,KAB. KEBUMEN,JAWA TENGAH
