Kode,Nama,Kecamatan
11.01.01.2001,KEUDE BAKONGAN,BAKONGAN
11.01.01.2002,UJONG MANGKI,BAKONGAN
11.01.01.2003,UJONG PADANG,BAKONGAN
11.01.01.2004,GAMPONG DRIEN,BAKONGAN
11.01.01.2015,DARUL IKHSAN,BAKONGAN
11.01.01.2016,PADANG BEURAHAN,BAKONGAN
11.01.01.2017,GAMPONG BARO,BAKONGAN
11.01.02.2001,FAJAR HARAPAN,KLUET UTARA
11.01.02.2002,KRUENG BATEE,KLUET UTARA
11.01.02.2003,PASI KUALA ASAHAN,KLUET UTARA
11.01.02.2004,GUNUNG PULO,KLUET UTARA
11.01.02.2005,PULO IE I,KLUET UTARA
11.01.02.2006,JAMBO MANYANG,KLUET UTARA
11.01.02.2007,SIMPANG EMPAT,KLUET UTARA
11.01.02.2008,LIMAU PURUT,KLUET UTARA
11.01.02.2009,PULO KAMBING,KLUET UTARA
11.01.02.2010,KAMPUNG PAYA,KLUET UTARA
11.01.02.2011,KRUENG BATU,KLUET UTARA
11.01.02.2012,KRUENG KLUET,KLUET UTARA
11.01.02.2013,ALUR MAS,KLUET UTARA
11.01.02.2014,KAMPUNG TINGGI,KLUET UTARA
11.01.02.2015,RUAK,KLUET UTARA
11.01.02.2016,SIMPANG LHEE,KLUET UTARA
11.01.02.2017,SUAQ GEURINGGENG,KLUET UTARA
11.01.02.2018,PASI KUALA BAU,KLUET UTARA
11.01.02.2019,KEDAI PADANG,KLUET UTARA
11.01.02.2020,KOTAFAJAR,KLUET UTARA
11.01.02.2021,GUNUNG PUDUNG,KLUET UTARA
11.01.03.2001,SUAQ BAKUNG,KLUET SELATAN
11.01.03.2002,RANTAU BINUANG,KLUET SELATAN
11.01.03.2003,BARAT DAYA,KLUET SELATAN
11.01.03.2004,SIALANG,KLUET SELATAN
11.01.03.2005,KAPEH,KLUET SELATAN
11.01.03.2006,PULO IE,KLUET SELATAN
11.01.03.2007,KEDAI RUNDING,KLUET SELATAN
11.01.03.2008,KEDAI KANDANG,KLUET SELATAN
11.01.03.2009,GAMPONG LUAR,KLUET SELATAN
11.01.03.2010,UJUNG,KLUET SELATAN
11.01.03.2011,JUA,KLUET SELATAN
11.01.03.2012,PASI MEURAPAT,KLUET SELATAN
11.01.03.2013,UJUNG PASIR,KLUET SELATAN
11.01.03.2014,GEULUMBUK,KLUET SELATAN
11.01.03.2015,PASIE LEMBANG,KLUET SELATAN
11.01.03.2016,UJUNG PADANG,KLUET SELATAN
11.01.03.2017,INDRA DAMAI,KLUET SELATAN
11.01.04.2001,BAKAU HULU,LABUHAN HAJI
11.01.04.2002,PADANG BAKAU,LABUHAN HAJI
11.01.04.2003,MANGGIS HARAPAN,LABUHAN HAJI
11.01.04.2004,PASAR LAMA,LABUHAN HAJI
11.01.04.2005,APHA,LABUHAN HAJI
11.01.04.2006,UJUNG BATU,LABUHAN HAJI
11.01.04.2007,PAWOH,LABUHAN HAJI
11.01.04.2008,DALAM,LABUHAN HAJI
11.01.04.2009,KOTA PALAK,LABUHAN HAJI
11.01.04.2010,CACANG,LABUHAN HAJI
11.01.04.2011,TENGAH PISANG,LABUHAN HAJI
11.01.04.2012,PISANG,LABUHAN HAJI
11.01.04.2013,HULU PISANG,LABUHAN HAJI
11.01.04.2014,TENGAH BARU,LABUHAN HAJI
11.01.04.2015,LEMBAH BARU,LABUHAN HAJI
11.01.04.2016,PADANG BARU,LABUHAN HAJI
11.01.05.2001,KUTA BULOH II,MEUKEK
11.01.05.2002,KUTA BULOH I,MEUKEK
11.01.05.2003,IE DINGEN,MEUKEK
11.01.05.2004,DRIEN JALO,MEUKEK
11.01.05.2005,JAMBO PAPEUN,MEUKEK
11.01.05.2006,BUKET MEUH,MEUKEK
11.01.05.2007,BLANG KUALA,MEUKEK
11.01.05.2008,ROT TEUNGOH,MEUKEK
11.01.05.2009,ALUE BARO,MEUKEK
11.01.05.2010,LADANG TUHA,MEUKEK
11.01.05.2011,LHOK MAMPLAM,MEUKEK
11.01.05.2012,ARUN TUNGGAI,MEUKEK
11.01.05.2013,BLANG TEUNGOH,MEUKEK
11.01.05.2014,BLANG BLADEH,MEUKEK
11.01.05.2015,IE BUBOH,MEUKEK
11.01.05.2016,KEUDE MEUKEK,MEUKEK
11.01.05.2017,KUTA BARO,MEUKEK
11.01.05.2018,TANJUNG HARAPAN,MEUKEK
11.01.05.2019,LABUHAN TAROK,MEUKEK
11.01.05.2020,LHOK AMAN,MEUKEK
11.01.05.2021,ALUE MEUTUAH,MEUKEK
11.01.05.2022,LADANG BARO,MEUKEK
11.01.05.2023,LABUHAN TAROK II,MEUKEK
11.01.06.2001,DALAM,SAMADUA
11.01.06.2002,SUBARANG,SAMADUA
11.01.06.2003,KUTA BARU,SAMADUA
11.01.06.2004,GUNUNG KETEK,SAMADUA
11.01.06.2005,LADANG PANTON LUAS,SAMADUA
11.01.06.2006,MADAT,SAMADUA
11.01.06.2007,ALUR SEUMERAH,SAMADUA
11.01.06.2008,TENGAH,SAMADUA
11.01.06.2009,GUNUNG CUT,SAMADUA
11.01.06.2010,ALUR PINANG,SAMADUA
11.01.06.2011,KUTA BLANG,SAMADUA
11.01.06.2012,BATEE TUNGGAI,SAMADUA
11.01.06.2013,UJUNG TANAH,SAMADUA
11.01.06.2014,UJUNG KAMPUNG,SAMADUA
11.01.06.2015,JILATANG,SAMADUA
11.01.06.2016,LUAR,SAMADUA
11.01.06.2017,LUBUK LAYU,SAMADUA
11.01.06.2018,SUAQ HULU,SAMADUA
11.01.06.2019,TAMPANG,SAMADUA
11.01.06.2020,PAYONAN GADANG,SAMADUA
11.01.06.2021,GADANG,SAMADUA
11.01.06.2022,BARU,SAMADUA
11.01.06.2023,LADANG KASIK PUTIH,SAMADUA
11.01.06.2024,AIR SIALANG HILIR.,SAMADUA
11.01.06.2025,AIR SIALANG HULU,SAMADUA
11.01.06.2026,AIR SIALANG TENGAH,SAMADUA
11.01.06.2027,BALAI,SAMADUA
11.01.06.2028,ARAFAH,SAMADUA
11.01.07.2001,SIKULAT,SAWANG
11.01.07.2002,SAWANG I,SAWANG
11.01.07.2003,MEULIGO,SAWANG
11.01.07.2004,LHOK PAWOH,SAWANG
11.01.07.2005,SAWANG II,SAWANG
11.01.07.2006,UJUNG KARANG,SAWANG
11.01.07.2007,TRIENG MEUDURO BAROH,SAWANG
11.01.07.2008,TRIENG MEUDURO TUNONG,SAWANG
11.01.07.2009,PANTON LUAS,SAWANG
11.01.07.2010,SIMPANG TIGA,SAWANG
11.01.07.2011,KUTA BARO,SAWANG
11.01.07.2012,BLANG GEULINGGANG,SAWANG
11.01.07.2013,MUTIARA,SAWANG
11.01.07.2014,UJUNG PADANG,SAWANG
11.01.07.2015,SAWANG BAU,SAWANG
11.01.08.2001,LHOK KEUTAPANG,TAPAKTUAN
11.01.08.2002,HILIR,TAPAKTUAN
11.01.08.2003,PADANG,TAPAKTUAN
11.01.08.2004,HULU,TAPAKTUAN
11.01.08.2005,JAMBO APHA,TAPAKTUAN
11.01.08.2006,TEPI AIR,TAPAKTUAN
11.01.08.2007,PASAR,TAPAKTUAN
11.01.08.2008,LHOK BENGKUANG,TAPAKTUAN
11.01.08.2009,PANTON LUAS,TAPAKTUAN
11.01.08.2010,GUNUNG KERAMBIL,TAPAKTUAN
11.01.08.2011,AIR BERUDANG,TAPAKTUAN
11.01.08.2012,BATU ITAM,TAPAKTUAN
11.01.08.2013,PANJUPIAN,TAPAKTUAN
11.01.08.2014,LHOK RUKAM,TAPAKTUAN
11.01.08.2015,AIR PINANG,TAPAKTUAN
11.01.08.2016,LHOK BENGKUANG TIMUR,TAPAKTUAN
11.01.09.2001,KEUDE TRUMON,TRUMON
11.01.09.2002,UJONG TANOH,TRUMON
11.01.09.2003,SIGLENG,TRUMON
11.01.09.2004,IE MEUDAMA,TRUMON
11.01.09.2005,TUEPIN TINGGI,TRUMON
11.01.09.2006,KUTA BARO,TRUMON
11.01.09.2007,PANTON BILIE,TRUMON
11.01.09.2012,KUTA PADANG,TRUMON
11.01.09.2013,RAKET,TRUMON
11.01.09.2014,GAMPONG TEUNGOH,TRUMON
11.01.09.2015,SEUNEUBOK JAYA,TRUMON
11.01.09.2016,PADANG HARAPAN,TRUMON
11.01.10.2001,LADANG TEUNGOH,PASIE RAJA
11.01.10.2002,PUCOK KRUENG,PASIE RAJA
11.01.10.2003,SILOLO,PASIE RAJA
11.01.10.2004,KAMPUNG BARU,PASIE RAJA
11.01.10.2005,PANTON BILI,PASIE RAJA
11.01.10.2006,PAYA ATEUK,PASIE RAJA
11.01.10.2007,LADANG TUHA,PASIE RAJA
11.01.10.2008,MATA IE,PASIE RAJA
11.01.10.2009,UJONG BATEE,PASIE RAJA
11.01.10.2010,LHOK SIALANG CUT,PASIE RAJA
11.01.10.2011,SEUNEUBOK,PASIE RAJA
11.01.10.2012,IE MIRAH,PASIE RAJA
11.01.10.2013,PASIE RASIAN,PASIE RAJA
11.01.10.2014,UJUNG PADANG RASIAN,PASIE RAJA
11.01.10.2015,KRUENG KALEE,PASIE RAJA
11.01.10.2016,LHOK SIALANG RAYEUK,PASIE RAJA
11.01.10.2017,GAMPONG BARO,PASIE RAJA
11.01.10.2018,TEUPIN GAJAH,PASIE RAJA
11.01.10.2019,UJUNG PADANG ASAHAN,PASIE RAJA
11.01.10.2020,PULO IE II,PASIE RAJA
11.01.10.2021,PANTE RAJA,PASIE RAJA
11.01.11.2001,TENGAH PEULUMAT,LABUHAN HAJI TIMUR
11.01.11.2002,PAYA PEULUMAT,LABUHAN HAJI TIMUR
11.01.11.2003,PADANG PEULUMAT,LABUHAN HAJI TIMUR
11.01.11.2004,AUR PEULUMAT,LABUHAN HAJI TIMUR
11.01.11.2005,LIMAU SARING,LABUHAN HAJI TIMUR
11.01.11.2006,BEUTONG,LABUHAN HAJI TIMUR
11.01.11.2007,PEUNEULOP,LABUHAN HAJI TIMUR
11.01.11.2008,GUNUNG ROTAN,LABUHAN HAJI TIMUR
11.01.11.2009,KEUMUMU HILIR,LABUHAN HAJI TIMUR
11.01.11.2010,KEUMUMU HULU,LABUHAN HAJI TIMUR
11.01.11.2011,KEUMUMU SEBERANG,LABUHAN HAJI TIMUR
11.01.11.2012,SAWANG INDAH,LABUHAN HAJI TIMUR
11.01.12.2001,TUTONG,LABUHAN HAJI BARAT
11.01.12.2002,TEUNGOH IBOH,LABUHAN HAJI BARAT
11.01.12.2003,PEULOKAN,LABUHAN HAJI BARAT
11.01.12.2004,KUTA IBOH,LABUHAN HAJI BARAT
11.01.12.2005,UJUNG PADANG,LABUHAN HAJI BARAT
11.01.12.2006,BLANG BARU,LABUHAN HAJI BARAT
11.01.12.2007,BLANG POROH,LABUHAN HAJI BARAT
11.01.12.2008,PULO IE,LABUHAN HAJI BARAT
11.01.12.2009,SUAK LOKAN,LABUHAN HAJI BARAT
11.01.12.2010,IKU LHUENG,LABUHAN HAJI BARAT
11.01.12.2011,KUTA TRIENG,LABUHAN HAJI BARAT
11.01.12.2012,PANTE GEULIMA,LABUHAN HAJI BARAT
11.01.12.2013,PANTON PAWOH,LABUHAN HAJI BARAT
11.01.12.2014,BATEE MEUCANANG,LABUHAN HAJI BARAT
11.01.12.2015,PANTON RUBEK,LABUHAN HAJI BARAT
11.01.13.2001,KOTO,KLUET TENGAH
11.01.13.2002,ALUR KEUJRUN,KLUET TENGAH
11.01.13.2003,JAMBO PAPAN,KLUET TENGAH
11.01.13.2004,MALAKA,KLUET TENGAH
11.01.13.2005,KOTO INDARUNG,KLUET TENGAH
11.01.13.2006,SIURAI-URAI,KLUET TENGAH
11.01.13.2007,KAMPUNG SAWAH,KLUET TENGAH
11.01.13.2008,KAMPUNG PADANG,KLUET TENGAH
11.01.13.2009,PULO AIR,KLUET TENGAH
11.01.13.2010,LAWE MELANG,KLUET TENGAH
11.01.13.2011,MERSAK,KLUET TENGAH
11.01.13.2012,SIMPANG DUA,KLUET TENGAH
11.01.13.2013,SIMPANG TIGA,KLUET TENGAH
11.01.14.2001,PAYA DAPUR,KLUET TIMUR
11.01.14.2002,SAPIK,KLUET TIMUR
11.01.14.2003,ALAI,KLUET TIMUR
11.01.14.2004,DURIAN KAWAN,KLUET TIMUR
11.01.14.2005,LAWE SAWAH,KLUET TIMUR
11.01.14.2006,LAWE BULUH DIDI,KLUET TIMUR
11.01.14.2007,PUCUK LEMBANG,KLUET TIMUR
11.01.14.2008,PAYA LABA,KLUET TIMUR
11.01.14.2009,LAWE CIMANOK,KLUET TIMUR
11.01.15.2001,PASIE SEUBADEH,BAKONGAN TIMUR
11.01.15.2002,LADANG RIMBA,BAKONGAN TIMUR
11.01.15.2003,UJONG PULO RAYEUK,BAKONGAN TIMUR
11.01.15.2004,SAWAH TINGKEUM,BAKONGAN TIMUR
11.01.15.2005,SIMPANG,BAKONGAN TIMUR
11.01.15.2006,UJONG PULO CUT,BAKONGAN TIMUR
11.01.15.2008,SEULEUKAT,BAKONGAN TIMUR
11.01.16.2005,PINTO RIMBA,TRUMON TIMUR
11.01.16.2006,KRUENG LUAS,TRUMON TIMUR
11.01.16.2007,JAMBO DALEM,TRUMON TIMUR
11.01.16.2008,KAPA SESAK,TRUMON TIMUR
11.01.16.2009,SEUNEUBOK PUNTO,TRUMON TIMUR
11.01.16.2010,SEUNEUBOK PUSAKA,TRUMON TIMUR
11.01.16.2011,ALUR BUJOK,TRUMON TIMUR
11.01.16.2012,TITI POBEN,TRUMON TIMUR
11.01.17.2001,BUKET GADENG,KOTA BAHAGIA
11.01.17.2002,RAMBONG,KOTA BAHAGIA
11.01.17.2003,SEUNEUBOK KEURANJI,KOTA BAHAGIA
11.01.17.2004,SEUNEUBOK ALUR BULOH,KOTA BAHAGIA
11.01.17.2005,UJONG TANOH,KOTA BAHAGIA
11.01.17.2006,UJONG GUNONG CUT,KOTA BAHAGIA
11.01.17.2007,UJONG GUNUNG RAYEUK,KOTA BAHAGIA
11.01.17.2008,BEUTONG,KOTA BAHAGIA
11.01.17.2009,JAMBO KEUPOK,KOTA BAHAGIA
11.01.17.2010,ALURDUAMAS,KOTA BAHAGIA
11.01.18.2001,LADANG RIMBA,TRUMON TENGAH
11.01.18.2002,GUNONG KAPHO,TRUMON TENGAH
11.01.18.2003,KAMPONG TEUNGOH,TRUMON TENGAH
11.01.18.2004,KRUENG BATEE,TRUMON TENGAH
11.01.18.2005,PULO PAYA,TRUMON TENGAH
11.01.18.2006,JAMBO PAPEUN,TRUMON TENGAH
11.01.18.2007,COT BAYU,TRUMON TENGAH
11.01.18.2008,NACA,TRUMON TENGAH
11.01.18.2009,IE JEUREUNEH,TRUMON TENGAH
11.01.18.2010,LHOK RAYA,TRUMON TENGAH
11.02.01.2001,ENGKERAN,LAWE ALAS
11.02.01.2002,RUMAH KAMPUNG,LAWE ALAS
11.02.01.2004,PASIR BANGUN,LAWE ALAS
11.02.01.2006,KUBU,LAWE ALAS
11.02.01.2007,LAWE KONGKER,LAWE ALAS
11.02.01.2008,KUTA CINGKAM II,LAWE ALAS
11.02.01.2009,MUARA BARU,LAWE ALAS
11.02.01.2011,KUTA BATU I,LAWE ALAS
11.02.01.2012,KUTA CINGKAM I,LAWE ALAS
11.02.01.2013,KUTA BATU II,LAWE ALAS
11.02.01.2014,LAWE SEMPILANG,LAWE ALAS
11.02.01.2015,PRAPAT BATU NUNGGUL,LAWE ALAS
11.02.01.2016,PULO SEPANG,LAWE ALAS
11.02.01.2017,RIH MBELANG,LAWE ALAS
11.02.01.2018,KUTE BATU BARU,LAWE ALAS
11.02.01.2019,DARUL AMIN,LAWE ALAS
11.02.01.2020,LAWE LUBANG INDAH,LAWE ALAS
11.02.01.2021,BATU HAMPARAN,LAWE ALAS
11.02.01.2022,PAYE MUNJE,LAWE ALAS
11.02.01.2023,PULO NDAPDAP,LAWE ALAS
11.02.01.2024,PASIR NUNGGUL,LAWE ALAS
11.02.01.2025,CINGKHAM MEKHANGGUN,LAWE ALAS
11.02.01.2026,PINTU KHIMBE,LAWE ALAS
11.02.01.2027,LAWE KONGKER HILIR,LAWE ALAS
11.02.01.2028,PULO GADUNG,LAWE ALAS
11.02.01.2029,PASIKH PEHKMATE,LAWE ALAS
11.02.01.2030,PASIKH NUNANG,LAWE ALAS
11.02.01.2031,DELENG KUKUSEN,LAWE ALAS
11.02.02.2001,BUKIT MERDEKA,LAWE SIGALA-GALA
11.02.02.2002,DARUL AMAN,LAWE SIGALA-GALA
11.02.02.2003,LAWE KESUMPAT,LAWE SIGALA-GALA
11.02.02.2004,LAWE TUA GABUNGAN,LAWE SIGALA-GALA
11.02.02.2005,LAWE SIGALA II,LAWE SIGALA-GALA
11.02.02.2006,LAWE SIGALA TIMUR,LAWE SIGALA-GALA
11.02.02.2007,LAWE SIGALA BARAT,LAWE SIGALA-GALA
11.02.02.2008,SUKA DAMAI,LAWE SIGALA-GALA
11.02.02.2009,KUTE TENGAH,LAWE SIGALA-GALA
11.02.02.2010,TANAH BARU,LAWE SIGALA-GALA
11.02.02.2011,KEDATARAN GABUNGAN,LAWE SIGALA-GALA
11.02.02.2012,GABUNGAN PARSAROAN,LAWE SIGALA-GALA
11.02.02.2013,LAWE LONING GABUNGAN,LAWE SIGALA-GALA
11.02.02.2014,LAWE LONING AMAN,LAWE SIGALA-GALA
11.02.02.2015,SUKA MAJU,LAWE SIGALA-GALA
11.02.02.2016,LAWE TUA MAKMUR,LAWE SIGALA-GALA
11.02.02.2017,LAWE TUA PERSATUAN,LAWE SIGALA-GALA
11.02.02.2018,LAWE SERKE,LAWE SIGALA-GALA
11.02.02.2019,LAWE RAKAT,LAWE SIGALA-GALA
11.02.02.2020,SUKA JAYA,LAWE SIGALA-GALA
11.02.02.2021,ENMIYA BATU DUA RATUS,LAWE SIGALA-GALA
11.02.02.2022,SEBUNGKE,LAWE SIGALA-GALA
11.02.02.2023,BUKIT SEPAKAT,LAWE SIGALA-GALA
11.02.02.2024,LAWE LONING SEPAKAT,LAWE SIGALA-GALA
11.02.02.2025,LAWE LONING I,LAWE SIGALA-GALA
11.02.02.2026,GAYA JAYA,LAWE SIGALA-GALA
11.02.02.2027,GELAH MUSARA,LAWE SIGALA-GALA
11.02.02.2028,MULIE DAME,LAWE SIGALA-GALA
11.02.02.2029,LAWE LONING HAKHAPEN,LAWE SIGALA-GALA
11.02.02.2030,KARYA INDAH,LAWE SIGALA-GALA
11.02.02.2031,KAYU MBELIN,LAWE SIGALA-GALA
11.02.02.2032,LAWE SIGALA BARAT JAYA,LAWE SIGALA-GALA
11.02.02.2033,LAWE PEKHIDINEN,LAWE SIGALA-GALA
11.02.02.2034,KERTIMBANG,LAWE SIGALA-GALA
11.02.02.2035,NDAUH NITENGGO,LAWE SIGALA-GALA
11.02.03.2001,BAMBEL GABUNGAN,BAMBEL
11.02.03.2002,KISAM,BAMBEL
11.02.03.2005,LAWE HIJO,BAMBEL
11.02.03.2006,PINDING,BAMBEL
11.02.03.2009,TERUTUNG MEGARA ASLI,BAMBEL
11.02.03.2011,BIAK MULI,BAMBEL
11.02.03.2012,KUTE LANG-LANG,BAMBEL
11.02.03.2013,PEDESI,BAMBEL
11.02.03.2014,TERUTUNG PAYUNG HULU,BAMBEL
11.02.03.2015,TERUTUNG PAYUNG HILIR,BAMBEL
11.02.03.2016,TUALANG SEMBILAR,BAMBEL
11.02.03.2017,KUNING I,BAMBEL
11.02.03.2018,KUNING II,BAMBEL
11.02.03.2019,CINTA DAMAI,BAMBEL
11.02.03.2020,LIKAT,BAMBEL
11.02.03.2021,RIKIT,BAMBEL
11.02.03.2023,BAMBEL,BAMBEL
11.02.03.2025,LAWE KIHING,BAMBEL
11.02.03.2026,TERUTUNG SEPERAI,BAMBEL
11.02.03.2027,KUTE SERI,BAMBEL
11.02.03.2028,KUTA ANTARA,BAMBEL
11.02.03.2029,PULO PERENGGE,BAMBEL
11.02.03.2031,PULO KENDONDONG,BAMBEL
11.02.03.2033,PANCAKH IMAN,BAMBEL
11.02.03.2034,BIAK MULI BARU,BAMBEL
11.02.03.2035,BIAK MULI PANTAI RAJA,BAMBEL
11.02.03.2036,BIAK MULI SEJAHTERA,BAMBEL
11.02.03.2037,LEMBAH HAJI,BAMBEL
11.02.03.2038,TERUTUNG PAYUNGGABUNGAN,BAMBEL
11.02.03.2039,LAWE HIJO METUAH,BAMBEL
11.02.03.2040,AMPERA,BAMBEL
11.02.03.2041,TEMBILAKH MBAKHU,BAMBEL
11.02.03.2042,KUTE LANG-LANG BAKHU,BAMBEL
11.02.04.2001,KOTA KUTACANE,BABUSSALAM
11.02.04.2002,PERAPAT HILIR,BABUSSALAM
11.02.04.2003,PERAPAT HULU,BABUSSALAM
11.02.04.2004,MUARA LAWE BULAN,BABUSSALAM
11.02.04.2005,MBARUNG,BABUSSALAM
11.02.04.2006,BATU MBULAN ASLI,BABUSSALAM
11.02.04.2007,BATU MBULAN I,BABUSSALAM
11.02.04.2008,BATU MBULAN II,BABUSSALAM
11.02.04.2009,KAMPUNG RAJA,BABUSSALAM
11.02.04.2010,PULONAS,BABUSSALAM
11.02.04.2011,KAMPUNG MELAYU GABUNGAN,BABUSSALAM
11.02.04.2012,TERUTUNG PEDI,BABUSSALAM
11.02.04.2013,KUTE RIH,BABUSSALAM
11.02.04.2014,GUMPANG JAYA,BABUSSALAM
11.02.04.2015,PULO LATONG,BABUSSALAM
11.02.04.2016,KUTACANE LAMA,BABUSSALAM
11.02.04.2017,BATU MBULAN MBARU,BABUSSALAM
11.02.04.2018,PULO PEDING,BABUSSALAM
11.02.04.2019,MENDABE,BABUSSALAM
11.02.04.2020,UJUNG BARAT,BABUSSALAM
11.02.04.2021,PEKHAPAT TITI PANJANG,BABUSSALAM
11.02.04.2022,PEKHAPAT SEPAKAT,BABUSSALAM
11.02.04.2023,ALAS MARANTCAR,BABUSSALAM
11.02.04.2024,BATU MBULAN SEPAKAT,BABUSSALAM
11.02.04.2025,PULO SANGGAKH,BABUSSALAM
11.02.04.2026,MELAYU I,BABUSSALAM
11.02.04.2027,MBARUNG DATUK SAUDANE,BABUSSALAM
11.02.05.2005,SALANG ALAS,BADAR
11.02.05.2009,KUTA PASIR,BADAR
11.02.05.2011,PURWODADI,BADAR
11.02.05.2012,KUTA TINGGI,BADAR
11.02.05.2013,KAMPUNG BARU,BADAR
11.02.05.2014,PERANGINAN,BADAR
11.02.05.2015,NATAM,BADAR
11.02.05.2025,KUMBANG JAYA,BADAR
11.02.05.2026,KUMBANG INDAH,BADAR
11.02.05.2027,NATAM BARU,BADAR
11.02.05.2029,DELENG MEGAKHE,BADAR
11.02.05.2030,LAWE BEKUNG,BADAR
11.02.05.2031,LAWE BEKUNG TAMPAHAN,BADAR
11.02.05.2032,BADAR INDAH,BADAR
11.02.05.2033,BATU MBEKHONG,BADAR
11.02.05.2034,TANAH MERAH,BADAR
11.02.05.2035,TANOH MEGAKHE,BADAR
11.02.05.2036,LAWE SEKERAH,BADAR
11.02.06.2001,PARDOMUAN II,BABUL MAKMUR
11.02.06.2002,LAWE DESKY I,BABUL MAKMUR
11.02.06.2003,LAWE DESKY SABAS,BABUL MAKMUR
11.02.06.2004,PARDOMUAN I,BABUL MAKMUR
11.02.06.2005,CINTA DAMAI,BABUL MAKMUR
11.02.06.2006,PARDAMEAN,BABUL MAKMUR
11.02.06.2007,LAWE DESKY TONGAH,BABUL MAKMUR
11.02.06.2008,KUTE BAKTI,BABUL MAKMUR
11.02.06.2010,MUARA SITULEN,BABUL MAKMUR
11.02.06.2011,SEJAHTERA,BABUL MAKMUR
11.02.06.2012,KUTE MAKMUR,BABUL MAKMUR
11.02.06.2013,PARDAMEAN,BABUL MAKMUR
11.02.06.2014,LAWE MANTIK,BABUL MAKMUR
11.02.06.2015,CINTA MAKMUR,BABUL MAKMUR
11.02.06.2016,MUARA SETIA,BABUL MAKMUR
11.02.06.2017,TANOH ALAS,BABUL MAKMUR
11.02.06.2018,SEJAHTERA BARU,BABUL MAKMUR
11.02.06.2024,LAWE TAWAKH,BABUL MAKMUR
11.02.06.2025,SABILUSSALAM,BABUL MAKMUR
11.02.06.2026,LAWE DESKY JAYA,BABUL MAKMUR
11.02.06.2027,PINTU ALAS,BABUL MAKMUR
11.02.07.2001,GULO,DARUL HASANAH
11.02.07.2002,PULO PIKU,DARUL HASANAH
11.02.07.2003,TERUTUNG KUTE,DARUL HASANAH
11.02.07.2004,KUTE UJUNG,DARUL HASANAH
11.02.07.2005,LAWE STUL,DARUL HASANAH
11.02.07.2006,KITE MERANGUN,DARUL HASANAH
11.02.07.2007,MAMAS,DARUL HASANAH
11.02.07.2008,TANJUNG LAMA,DARUL HASANAH
11.02.07.2009,TANJUNG MUDA,DARUL HASANAH
11.02.07.2010,RAMBUNG TELDAK,DARUL HASANAH
11.02.07.2011,TANJUNG AMAN,DARUL HASANAH
11.02.07.2012,SRI MUDA,DARUL HASANAH
11.02.07.2013,UJUNG BARU,DARUL HASANAH
11.02.07.2014,KUTE RAMBE,DARUL HASANAH
11.02.07.2015,MAMAS BARU,DARUL HASANAH
11.02.07.2016,RAMBUNG JAYA,DARUL HASANAH
11.02.07.2017,MAKMUR JAYA,DARUL HASANAH
11.02.07.2018,DARUL MAKMUR,DARUL HASANAH
11.02.07.2019,TANJUNG BAKHU,DARUL HASANAH
11.02.07.2020,PULO GABUNG,DARUL HASANAH
11.02.07.2021,KOKHTAN JAYA,DARUL HASANAH
11.02.07.2022,ISTIQAMAH,DARUL HASANAH
11.02.07.2023,LAWE MAMAS INDAH,DARUL HASANAH
11.02.07.2024,TANJUNG LEUSER,DARUL HASANAH
11.02.07.2025,SIMPANG IV TANJUNG,DARUL HASANAH
11.02.07.2026,LAWE PINIS,DARUL HASANAH
11.02.07.2027,BUNTUL KENDAWI,DARUL HASANAH
11.02.07.2028,KUNING ABADI,DARUL HASANAH
11.02.08.2001,PASIR GALA,LAWE BULAN
11.02.08.2002,PASIR PENJENGAKAN,LAWE BULAN
11.02.08.2003,KUTAMBARU,LAWE BULAN
11.02.08.2004,LAWE SAGU HULU,LAWE BULAN
11.02.08.2005,LAWE SAGU HILIR,LAWE BULAN
11.02.08.2006,KUTE BANTIL,LAWE BULAN
11.02.08.2011,LAWE KOLOK,LAWE BULAN
11.02.08.2012,LAWE RUTUNG,LAWE BULAN
11.02.08.2013,KAMPUNG NANGKA,LAWE BULAN
11.02.08.2014,TENEMBAK JUHAR,LAWE BULAN
11.02.08.2015,SIMPANG EMPAT,LAWE BULAN
11.02.08.2016,KUTA BULUH BOTONG,LAWE BULAN
11.02.08.2017,KATAMBARU BECAWAN,LAWE BULAN
11.02.08.2018,LAWE KINGE,LAWE BULAN
11.02.08.2019,KANDANG MBELANG MANDIRI,LAWE BULAN
11.02.08.2020,MBACANG RACUN,LAWE BULAN
11.02.08.2021,TELAGA MEKAR,LAWE BULAN
11.02.08.2023,PULONAS BARU,LAWE BULAN
11.02.08.2025,KUTA GENTING,LAWE BULAN
11.02.08.2026,LAWE SAGU BARU,LAWE BULAN
11.02.08.2027,LAWE SAGU,LAWE BULAN
11.02.08.2028,PEKHAPET TIMUR,LAWE BULAN
11.02.08.2029,BAHAGIA,LAWE BULAN
11.02.08.2030,KUTE GALUH ASLI,LAWE BULAN
11.02.09.2001,KUTE LENGAT PANGAN,BUKIT TUSAM
11.02.09.2002,KUTE LENGAT SELIAN,BUKIT TUSAM
11.02.09.2003,TUALANG BARU,BUKIT TUSAM
11.02.09.2004,ALUR BULUH,BUKIT TUSAM
11.02.09.2005,MAHA SINGKIL,BUKIT TUSAM
11.02.09.2006,TENEMBAK BINTANG,BUKIT TUSAM
11.02.09.2007,KUTE LINGGA,BUKIT TUSAM
11.02.09.2008,RIKIT BUR,BUKIT TUSAM
